ticket_id,text,true_sentiment,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
TKT-0001,I cannot log in to my account. The password reset email never arrived.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0002,Error 500 is displayed whenever I submit the checkout form.,negative,0.231,0.769,0.0,-0.4019,negative
TKT-0003,Single sign-on with Google stopped working this morning.,negative,0.213,0.787,0.0,-0.2263,negative
TKT-0004,Forgot my password and the reset link expired before I could use it.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0005,I cannot log in to my account. The password reset email never arrived.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0006,Error 500 is displayed whenever I submit the checkout form.,negative,0.231,0.769,0.0,-0.4019,negative
TKT-0007,I need to update the email address associated with my account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0008,The export to CSV button downloads an empty file.,neutral,0.184,0.816,0.0,-0.2023,negative
TKT-0009,Please help me delete my account and all personal data under GDPR.,neutral,0.0,0.667,0.333,0.6124,positive
TKT-0010,Need a refund for the accidental purchase made last week.,neutral,0.126,0.874,0.0,-0.0772,negative
TKT-0011,"Session keeps expiring after only 5 minutes, forcing constant re-login.",negative,0.0,1.0,0.0,0.0,neutral
TKT-0012,PayPal checkout fails at the confirmation step with a timeout error.,negative,0.379,0.621,0.0,-0.6705,negative
TKT-0013,Error 500 is displayed whenever I submit the checkout form.,negative,0.231,0.769,0.0,-0.4019,negative
TKT-0014,I cannot log in to my account. The password reset email never arrived.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0015,My account is locked after multiple failed login attempts.,neutral,0.292,0.708,0.0,-0.5106,negative
TKT-0016,My account was deactivated without any prior notification.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0017,Need a refund for the accidental purchase made last week.,neutral,0.126,0.874,0.0,-0.0772,negative
TKT-0018,My credit card was charged twice for the same subscription renewal.,negative,0.134,0.672,0.194,0.2023,positive
TKT-0019,A mobile app for iOS would significantly improve our workflow.,positive,0.0,0.756,0.244,0.4404,positive
TKT-0020,Need to add a secondary admin user to our organisation account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0021,How do I transfer ownership of my workspace to a colleague?,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0022,I cannot log in to my account. The password reset email never arrived.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0023,Dark mode toggle reverts to light mode after every page refresh.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0024,"Session keeps expiring after only 5 minutes, forcing constant re-login.",negative,0.0,1.0,0.0,0.0,neutral
TKT-0025,Login page keeps redirecting me to an error 403 page.,negative,0.231,0.769,0.0,-0.4019,negative
TKT-0026,The promo code I applied is not reflected on the final invoice.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0027,The dashboard chart is blank – no data is shown despite records existing.,neutral,0.155,0.845,0.0,-0.296,negative
TKT-0028,The export to CSV button downloads an empty file.,neutral,0.184,0.816,0.0,-0.2023,negative
TKT-0029,Forgot my password and the reset link expired before I could use it.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0030,Sorting the table by date column causes the page to freeze.,negative,0.0,0.893,0.107,0.0516,positive
TKT-0031,Notifications are duplicated; I receive the same alert three times.,negative,0.0,0.804,0.196,0.296,positive
TKT-0032,Please allow customisable notification frequency per user.,positive,0.0,0.543,0.457,0.4939,positive
TKT-0033,How do I transfer ownership of my workspace to a colleague?,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0034,A mobile app for iOS would significantly improve our workflow.,positive,0.0,0.756,0.244,0.4404,positive
TKT-0035,Dark mode toggle reverts to light mode after every page refresh.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0036,We need an API endpoint for programmatic data ingestion.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0037,Two-factor authentication code is not working on my phone.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0038,Please add support for bulk-deleting records from the list view.,neutral,0.0,0.615,0.385,0.6124,positive
TKT-0039,I cancelled my subscription but was still billed this month.,negative,0.143,0.857,0.0,-0.128,negative
TKT-0040,Invoice from last month is missing from my billing history.,neutral,0.196,0.804,0.0,-0.296,negative
TKT-0041,Error 500 is displayed whenever I submit the checkout form.,negative,0.231,0.769,0.0,-0.4019,negative
TKT-0042,My account was deactivated without any prior notification.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0043,Need a refund for the accidental purchase made last week.,neutral,0.126,0.874,0.0,-0.0772,negative
TKT-0044,Please add support for bulk-deleting records from the list view.,neutral,0.0,0.615,0.385,0.6124,positive
TKT-0045,Please help me delete my account and all personal data under GDPR.,neutral,0.0,0.667,0.333,0.6124,positive
TKT-0046,"Session keeps expiring after only 5 minutes, forcing constant re-login.",negative,0.0,1.0,0.0,0.0,neutral
TKT-0047,The export to CSV button downloads an empty file.,neutral,0.184,0.816,0.0,-0.2023,negative
TKT-0048,Need a refund for the accidental purchase made last week.,neutral,0.126,0.874,0.0,-0.0772,negative
TKT-0049,I cancelled my subscription but was still billed this month.,negative,0.143,0.857,0.0,-0.128,negative
TKT-0050,Need a refund for the accidental purchase made last week.,neutral,0.126,0.874,0.0,-0.0772,negative
TKT-0051,Need to add a secondary admin user to our organisation account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0052,Single sign-on with Google stopped working this morning.,negative,0.213,0.787,0.0,-0.2263,negative
TKT-0053,A mobile app for iOS would significantly improve our workflow.,positive,0.0,0.756,0.244,0.4404,positive
TKT-0054,It would be great if we could export reports directly to PDF.,positive,0.0,0.728,0.272,0.6249,positive
TKT-0055,Invoice from last month is missing from my billing history.,neutral,0.196,0.804,0.0,-0.296,negative
TKT-0056,Single sign-on with Google stopped working this morning.,negative,0.213,0.787,0.0,-0.2263,negative
TKT-0057,Need to add a secondary admin user to our organisation account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0058,I need to update the email address associated with my account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0059,A mobile app for iOS would significantly improve our workflow.,positive,0.0,0.756,0.244,0.4404,positive
TKT-0060,I cannot change my display name – the save button does nothing.,neutral,0.0,0.775,0.225,0.4939,positive
TKT-0061,The dashboard chart is blank – no data is shown despite records existing.,neutral,0.155,0.845,0.0,-0.296,negative
TKT-0062,Need to add a secondary admin user to our organisation account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0063,Forgot my password and the reset link expired before I could use it.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0064,My credit card was charged twice for the same subscription renewal.,negative,0.134,0.672,0.194,0.2023,positive
TKT-0065,A mobile app for iOS would significantly improve our workflow.,positive,0.0,0.756,0.244,0.4404,positive
TKT-0066,The app crashes every time I try to upload a file larger than 10 MB.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0067,I need to update the email address associated with my account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0068,VAT is not applied correctly for EU customers in the billing portal.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0069,Need to add a secondary admin user to our organisation account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0070,The export to CSV button downloads an empty file.,neutral,0.184,0.816,0.0,-0.2023,negative
TKT-0071,How do I transfer ownership of my workspace to a colleague?,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0072,Need to add a secondary admin user to our organisation account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0073,Invoice from last month is missing from my billing history.,neutral,0.196,0.804,0.0,-0.296,negative
TKT-0074,The export to CSV button downloads an empty file.,neutral,0.184,0.816,0.0,-0.2023,negative
TKT-0075,The promo code I applied is not reflected on the final invoice.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0076,We need an API endpoint for programmatic data ingestion.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0077,My credit card was charged twice for the same subscription renewal.,negative,0.134,0.672,0.194,0.2023,positive
TKT-0078,The app crashes every time I try to upload a file larger than 10 MB.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0079,Forgot my password and the reset link expired before I could use it.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0080,Sorting the table by date column causes the page to freeze.,negative,0.0,0.893,0.107,0.0516,positive
TKT-0081,I cannot log in to my account. The password reset email never arrived.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0082,Two-factor authentication code is not working on my phone.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0083,"Session keeps expiring after only 5 minutes, forcing constant re-login.",negative,0.0,1.0,0.0,0.0,neutral
TKT-0084,Forgot my password and the reset link expired before I could use it.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0085,Please allow customisable notification frequency per user.,positive,0.0,0.543,0.457,0.4939,positive
TKT-0086,Sorting the table by date column causes the page to freeze.,negative,0.0,0.893,0.107,0.0516,positive
TKT-0087,I cannot change my display name – the save button does nothing.,neutral,0.0,0.775,0.225,0.4939,positive
TKT-0088,Dark mode toggle reverts to light mode after every page refresh.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0089,Invoice from last month is missing from my billing history.,neutral,0.196,0.804,0.0,-0.296,negative
TKT-0090,Single sign-on with Google stopped working this morning.,negative,0.213,0.787,0.0,-0.2263,negative
TKT-0091,We need an API endpoint for programmatic data ingestion.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0092,VAT is not applied correctly for EU customers in the billing portal.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0093,I cannot log in to my account. The password reset email never arrived.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0094,A mobile app for iOS would significantly improve our workflow.,positive,0.0,0.756,0.244,0.4404,positive
TKT-0095,Error 500 is displayed whenever I submit the checkout form.,negative,0.231,0.769,0.0,-0.4019,negative
TKT-0096,Please help me delete my account and all personal data under GDPR.,neutral,0.0,0.667,0.333,0.6124,positive
TKT-0097,Invoice from last month is missing from my billing history.,neutral,0.196,0.804,0.0,-0.296,negative
TKT-0098,Invoice from last month is missing from my billing history.,neutral,0.196,0.804,0.0,-0.296,negative
TKT-0099,VAT is not applied correctly for EU customers in the billing portal.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0100,I cannot log in to my account. The password reset email never arrived.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0101,Need to add a secondary admin user to our organisation account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0102,"Session keeps expiring after only 5 minutes, forcing constant re-login.",negative,0.0,1.0,0.0,0.0,neutral
TKT-0103,Notifications are duplicated; I receive the same alert three times.,negative,0.0,0.804,0.196,0.296,positive
TKT-0104,Invoice from last month is missing from my billing history.,neutral,0.196,0.804,0.0,-0.296,negative
TKT-0105,Two-factor authentication code is not working on my phone.,negative,0.0,1.0,0.0,0.0,neutral
