ticket_id,text,true_topic,true_issue_type,true_sentiment,created_at
TKT-0001,I cannot log in to my account. The password reset email never arrived.,login,Account,negative,2024-05-20
TKT-0002,Error 500 is displayed whenever I submit the checkout form.,bug,Bug,negative,2024-03-12
TKT-0003,Single sign-on with Google stopped working this morning.,login,Account,negative,2024-10-06
TKT-0004,Forgot my password and the reset link expired before I could use it.,login,Account,neutral,2024-08-04
TKT-0005,I cannot log in to my account. The password reset email never arrived.,login,Account,negative,2024-02-17
TKT-0006,Error 500 is displayed whenever I submit the checkout form.,bug,Bug,negative,2024-09-15
TKT-0007,I need to update the email address associated with my account.,account,Account,neutral,2024-10-14
TKT-0008,The export to CSV button downloads an empty file.,bug,Bug,neutral,2024-11-28
TKT-0009,Please help me delete my account and all personal data under GDPR.,account,Account,neutral,2024-04-22
TKT-0010,Need a refund for the accidental purchase made last week.,payment,Bug,neutral,2024-05-22
TKT-0011,"Session keeps expiring after only 5 minutes, forcing constant re-login.",login,Account,negative,2024-03-22
TKT-0012,PayPal checkout fails at the confirmation step with a timeout error.,payment,Bug,negative,2024-05-22
TKT-0013,Error 500 is displayed whenever I submit the checkout form.,bug,Bug,negative,2024-06-21
TKT-0014,I cannot log in to my account. The password reset email never arrived.,login,Account,negative,2024-07-13
TKT-0015,My account is locked after multiple failed login attempts.,login,Account,neutral,2024-06-25
TKT-0016,My account was deactivated without any prior notification.,account,Account,negative,2024-01-23
TKT-0017,Need a refund for the accidental purchase made last week.,payment,Bug,neutral,2024-03-04
TKT-0018,My credit card was charged twice for the same subscription renewal.,payment,Bug,negative,2024-10-09
TKT-0019,A mobile app for iOS would significantly improve our workflow.,feature,Feature,positive,2024-11-17
TKT-0020,Need to add a secondary admin user to our organisation account.,account,Account,neutral,2024-07-04
TKT-0021,How do I transfer ownership of my workspace to a colleague?,account,Account,neutral,2024-12-26
TKT-0022,I cannot log in to my account. The password reset email never arrived.,login,Account,negative,2024-12-04
TKT-0023,Dark mode toggle reverts to light mode after every page refresh.,bug,Bug,neutral,2024-05-28
TKT-0024,"Session keeps expiring after only 5 minutes, forcing constant re-login.",login,Account,negative,2024-04-29
TKT-0025,Login page keeps redirecting me to an error 403 page.,login,Account,negative,2024-05-22
TKT-0026,The promo code I applied is not reflected on the final invoice.,payment,Bug,neutral,2024-07-05
TKT-0027,The dashboard chart is blank – no data is shown despite records existing.,bug,Bug,neutral,2024-06-30
TKT-0028,The export to CSV button downloads an empty file.,bug,Bug,neutral,2024-05-16
TKT-0029,Forgot my password and the reset link expired before I could use it.,login,Account,neutral,2024-11-21
TKT-0030,Sorting the table by date column causes the page to freeze.,bug,Bug,negative,2024-05-05
TKT-0031,Notifications are duplicated; I receive the same alert three times.,bug,Bug,negative,2024-07-13
TKT-0032,Please allow customisable notification frequency per user.,feature,Feature,positive,2024-12-18
TKT-0033,How do I transfer ownership of my workspace to a colleague?,account,Account,neutral,2024-12-16
TKT-0034,A mobile app for iOS would significantly improve our workflow.,feature,Feature,positive,2024-01-29
TKT-0035,Dark mode toggle reverts to light mode after every page refresh.,bug,Bug,neutral,2024-01-17
TKT-0036,We need an API endpoint for programmatic data ingestion.,feature,Feature,neutral,2024-05-17
TKT-0037,Two-factor authentication code is not working on my phone.,login,Account,negative,2024-10-17
