,account,need,billing,data,email,app,reset,password,page,month,button,improve,ios,workflow,significantly,mobile,downloads,csv,file
LDA_Topic_0,0.037775353617369486,0.056253309026567805,0.000920646510360116,0.04699093143088636,0.03777890660784661,0.019317778099338653,0.0009206584083591593,0.0009206584083591593,0.019349803731259576,0.0009206667591612485,,,,,,,,,
LDA_Topic_1,0.0738221173681422,0.01878696666778425,0.0005234111433176051,0.0005234093486654012,0.02667345470251701,0.0005234074849065038,0.02667584153685941,0.02667584153685941,0.026689153114721555,0.0005234176313942486,,,,,,,,,
LDA_Topic_2,0.0008726145848381723,0.0008726045152421319,0.0008725761595860796,0.000872568791520749,0.0008725837020269087,0.04451297357006692,0.0008725852820503574,0.0008725852820503574,0.0008726003079542683,0.0008725943459172441,,,,,,,,,
LDA_Topic_3,0.000758631170662221,0.0007542412491290867,0.02336732891351921,0.0007542149978300752,0.0007542262211150712,0.00075421288395403,0.0007542274011011526,0.0007542274011011526,0.0158293901302478,0.012003411447027582,,,,,,,,,
LDA_Topic_4,0.017783572346183194,0.039111684339676885,0.043376791955404406,0.01781777767851691,0.0008503048780136432,0.0008502851007196791,0.03488827549946055,0.03488827549946055,0.0008503174276401964,0.04343436953361799,,,,,,,,,
NMF_Topic_0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMF_Topic_1,,,,,,0.0052709647486272795,,,,,0.16322080090705468,0.0,0.0,0.0,0.0,0.0,0.15536811034949877,0.15536811034949877,0.1498730750863095
NMF_Topic_2,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMF_Topic_3,,,,,,0.15191666221229863,,,,,0.0,0.15703160158629595,0.15703160158629595,0.15703160158629595,0.15703160158629595,0.15703160158629595,0.0,0.0,0.005461812254227609
NMF_Topic_4,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
